tamanho;combinacao;vezes
2;12 19;4
2;14 19;3
2;13 14;2
2;13 19;2
2;14 18;2
2;7 18;2
2;12 14;1
2;8 12;1
2;8 13;1
2;8 14;1
2;8 9;1
2;9 12;1
2;9 14;1
2;9 17;1
2;9 19;1
3;12 14 17;6
3;7 14 19;6
3;8 13 19;6
3;12 17 18;5
3;8 13 18;5
3;8 9 12;5
3;12 13 19;4
3;17 18 19;4
3;7 13 18;4
3;8 12 18;4
3;8 13 14;4
3;8 13 17;4
3;8 14 17;4
3;8 14 18;4
3;8 9 17;4
3;9 12 13;4
3;9 12 19;4
3;9 14 18;4
3;12 14 19;3
3;12 17 19;3
3;13 14 18;3
3;13 14 19;3
3;13 17 18;3
3;13 17 19;3
3;13 18 19;3
3;14 17 19;3
3;7 12 13;3
3;7 13 14;3
3;7 14 17;3
3;7 8 9;3
3;8 12 17;3
3;8 9 13;3
3;8 9 18;3
3;9 12 14;3
3;9 13 17;3
3;9 14 17;3
3;12 13 14;2
3;7 12 14;2
3;7 14 18;2
3;7 8 12;2
3;7 8 17;2
3;8 12 13;2
3;8 14 19;2
3;8 17 18;2
3;8 18 19;2
3;9 12 17;2
3;9 13 14;2
3;9 13 18;2
3;9 14 19;2
3;9 18 19;2
3;12 13 17;1
3;12 13 18;1
3;12 18 19;1
3;14 17 18;1
3;14 18 19;1
3;7 12 17;1
3;7 13 17;1
3;7 13 19;1
3;7 17 18;1
3;7 17 19;1
3;7 8 13;1
3;7 8 18;1
3;7 8 19;1
3;7 9 12;1
3;7 9 14;1
3;7 9 17;1
3;7 9 18;1
3;7 9 19;1
3;8 17 19;1
3;8 9 14;1
3;9 13 19;1
3;9 17 19;1
4;7 9 14 17;10
4;9 12 13 18;10
4;9 12 17 18;10
4;12 13 14 19;9
4;7 13 18 19;9
4;7 8 13 18;9
4;7 8 14 19;9
4;7 9 13 14;9
4;8 12 18 19;9
4;8 13 14 17;9
4;8 9 14 19;9
4;12 13 18 19;8
